Product Type,Country,New Accounts,Ending Accounts,Total Accounts,New Contracts,Ending Contracts,Total Contracts,New Members,Ending Memberships,Total Members
WeWork All Access,Argentina,312,195,684,336,231,707,1164,638,2612
WeWork All Access,Brazil,1926,1199,3188,1952,1215,3239,2972,1677,6335
WeWork All Access,Chile,452,255,920,472,273,948,914,332,1777
WeWork All Access,Colombia,1206,704,2890,1294,747,3114,2636,1593,6450
WeWork All Access,Mexico,2662,1714,4960,2726,1761,5066,7720,5755,15838
WeWork All Access - Pay Per Use,Brazil,6,0,20,6,0,20,2640,0,10320
WeWork All Access - Pay Per Use,Mexico,8,0,18,8,0,18,378,0,1134
